M:\Dors\015 Christchurch\StormPac\Outputs\Christchurch.csv
SRG Generated Data, Duration 10 years

StartTime,EndTime,Depth (mm),MeanIntensity (mm/hr),MaxIntensity (mm/hr),Duration (hours),UCWI (mm),API30 (mm), AntecDryPeriod (hours)
03/06/2104 15:00:00,03/06/2104 15:00:00,0.1,0.1,0.1,1,86,0,81
10/06/2104 05:00:00,11/06/2104 16:00:00,16.9,0.5,5.9,36,74,0,157
20/06/2104 12:00:00,21/06/2104 08:00:00,9.7,0.5,3.4,21,61,0,211
23/06/2104 19:00:00,23/06/2104 23:00:00,3.2,0.6,1.4,5,72,1.2,58
25/06/2104 16:00:00,25/06/2104 20:00:00,0.7,0.1,0.3,5,69,0.4,40
03/07/2104 11:00:00,09/07/2104 23:00:00,21.8,0.1,4.9,157,50,0,182
11/07/2104 16:00:00,12/07/2104 05:00:00,2.1,0.2,0.8,14,53,1,40
21/07/2104 18:00:00,29/07/2104 07:00:00,39.8,0.2,5.8,182,50,0,228
02/08/2104 09:00:00,03/08/2104,7.6,0.5,5.1,16,50,0.1,97
18/08/2104 04:00:00,18/08/2104 15:00:00,1.2,0.1,0.9,12,50,0,363
22/08/2104,23/08/2104 06:00:00,3.7,0.1,1.6,31,50,0,80
26/08/2104 09:00:00,27/08/2104 08:00:00,8,0.3,2.6,24,50,0,74
05/09/2104,06/09/2104 12:00:00,21.7,0.6,2.8,37,50,0,207
08/09/2104 16:00:00,09/09/2104 15:00:00,6.4,0.3,1.3,24,50,1.9,51
12/09/2104 07:00:00,15/09/2104 21:00:00,24.6,0.3,6.5,87,50,0.6,63
18/09/2104 22:00:00,19/09/2104 10:00:00,3.3,0.3,1,13,50,0.4,72
02/10/2104 05:00:00,03/10/2104 09:00:00,0.8,0,0.2,29,50,0,306
06/10/2104 08:00:00,07/10/2104 17:00:00,9.7,0.3,2.9,34,50,0,70
10/10/2104 20:00:00,11/10/2104 21:00:00,1.7,0.1,0.4,26,50,1.1,74
14/10/2104 08:00:00,20/10/2104 16:00:00,38.9,0.3,7.5,153,50,0.2,58
22/10/2104 23:00:00,24/10/2104,3.8,0.1,2.2,26,74,2.2,54
27/10/2104 05:00:00,30/10/2104 09:00:00,20.5,0.3,2,77,67,0.6,76
31/10/2104 23:00:00,01/11/2104,0.3,0.2,0.2,2,101,3.3,37
05/11/2104 19:00:00,06/11/2104 23:00:00,2,0.1,0.5,29,79,0.1,114
08/11/2104 14:00:00,12/11/2104 19:00:00,32.7,0.3,6.2,102,95,0.2,38
16/11/2104 22:00:00,24/11/2104 12:00:00,99.4,0.5,15.4,183,105,0.2,98
27/11/2104,01/12/2104 02:00:00,33.8,0.3,4.8,99,145,3.8,59
05/12/2104 21:00:00,06/12/2104 02:00:00,1.1,0.2,0.3,6,127,0.2,114
07/12/2104 16:00:00,09/12/2104 10:00:00,4.4,0.1,1.5,43,130,0.1,37
11/12/2104 22:00:00,16/12/2104 12:00:00,11.1,0.1,1.6,111,131,0.3,59
18/12/2104 02:00:00,24/12/2104 18:00:00,17.9,0.1,2,161,135,0.6,37
26/12/2104 14:00:00,30/12/2104 01:00:00,49.3,0.6,11.2,84,132,0.7,43
01/01/2105,11/01/2105,62.2,0.3,7.2,241,180,9.9,46
14/01/2105 19:00:00,19/01/2105 11:00:00,54.4,0.5,9.2,113,127,0.5,90
21/01/2105 07:00:00,22/01/2105 01:00:00,2.5,0.1,0.9,19,143,4.2,43
25/01/2105 13:00:00,04/02/2105 20:00:00,83.5,0.3,5.8,248,127,0.3,83
06/02/2105 15:00:00,09/02/2105 03:00:00,9.2,0.2,1.7,61,152,2.4,42
10/02/2105 20:00:00,25/02/2105 11:00:00,60.2,0.2,4.2,352,138,1.5,40
27/02/2105 14:00:00,27/02/2105 14:00:00,0.1,0.1,0.1,1,131,0.6,50
02/03/2105 16:00:00,06/03/2105 02:00:00,15.3,0.2,2.4,83,124,0.1,73
10/03/2105 20:00:00,21/03/2105 18:00:00,83.4,0.3,4.9,263,123,0.2,113
23/03/2105 11:00:00,06/04/2105 20:00:00,51,0.1,4.3,346,143,2.3,40
11/04/2105 20:00:00,14/04/2105 02:00:00,15.9,0.3,3.4,55,119,0,119
17/04/2105 07:00:00,22/04/2105 09:00:00,3.2,0,0.8,123,129,1.4,76
28/04/2105 03:00:00,30/04/2105 20:00:00,17.3,0.3,3.8,66,106,0,137
03/05/2105 03:00:00,04/05/2105 19:00:00,2.3,0.1,0.5,41,124,1.7,54
09/05/2105 07:00:00,09/05/2105 07:00:00,0.1,0.1,0.1,1,103,0,107
15/05/2105 22:00:00,16/05/2105 14:00:00,0.8,0,0.4,17,88,0,158
